遮掩方式,差值,前三种爱选的方式
"[[0 0 0]
 [1 1 0]
 [1 1 0]]",595.77134,"[(3, 18574), (2, 17578), (7, 15657)]"
"[[0 0 1]
 [1 0 1]
 [1 0 0]]",670.71519,"[(3, 19664), (2, 19436), (0, 19309)]"
"[[0 0 1]
 [1 0 0]
 [1 1 0]]",696.62919,"[(3, 20560), (1, 17157), (5, 16918)]"
"[[0 0 0]
 [1 0 0]
 [1 1 1]]",660.09583,"[(7, 18702), (2, 17775), (5, 17131)]"
"[[0 0 0]
 [1 0 1]
 [1 0 1]]",671.10203,"[(2, 19775), (7, 19613), (3, 19420)]"
"[[1 1 0]
 [0 0 0]
 [0 1 1]]",669.76645,"[(1, 19822), (6, 19322), (4, 19278)]"
"[[1 0 0]
 [0 1 1]
 [0 1 0]]",681.5941,"[(7, 20974), (0, 15491), (2, 15452)]"
"[[0 1 1]
 [1 0 0]
 [0 1 0]]",810.22001,"[(3, 22284), (0, 20052), (6, 19982)]"
"[[1 0 1]
 [0 0 1]
 [1 0 0]]",592.06846,"[(5, 17640), (3, 15899), (0, 15868)]"
"[[0 1 0]
 [1 1 0]
 [0 1 0]]",654.49922,"[(3, 18753), (6, 17787), (0, 17114)]"
"[[1 0 1]
 [0 0 0]
 [1 1 0]]",595.50263,"[(1, 17879), (6, 15868), (3, 15717)]"
"[[1 1 1]
 [0 1 0]
 [0 0 0]]",513.24655,"[(0, 16598), (1, 16503), (6, 15530)]"
"[[0 0 1]
 [0 1 1]
 [0 0 1]]",511.33353,"[(5, 16701), (4, 16360), (0, 15546)]"
"[[0 0 1]
 [1 1 1]
 [0 0 0]]",640.64643,"[(3, 19485), (0, 19179), (2, 17923)]"
"[[0 0 0]
 [0 0 1]
 [1 1 1]]",652.84093,"[(3, 18712), (2, 18108), (5, 17159)]"
"[[1 0 0]
 [0 0 1]
 [1 1 0]]",811.72109,"[(7, 22118), (5, 19331), (2, 18784)]"
"[[0 1 1]
 [0 0 1]
 [0 1 0]]",702.09676,"[(3, 19848), (7, 18772), (1, 17444)]"
"[[1 0 1]
 [0 1 1]
 [0 0 0]]",540.83378,"[(0, 16888), (5, 16604), (4, 15395)]"
"[[1 0 0]
 [1 0 1]
 [0 0 1]]",680.11779,"[(5, 19793), (2, 19478), (0, 19328)]"
"[[0 0 1]
 [0 1 1]
 [1 0 0]]",708.66712,"[(2, 22034), (3, 21702), (0, 19881)]"
"[[0 0 1]
 [0 1 0]
 [1 1 0]]",707.43446,"[(1, 22132), (4, 21847), (2, 19754)]"
