遮掩方式,差值,前三种爱选的方式
"[[0 0 1]
 [0 1 1]
 [0 0 1]]",511.33353,"[(5, 16701), (4, 16360), (0, 15546)]"
"[[0 0 0]
 [0 1 0]
 [1 1 1]]",512.42148,"[(2, 16502), (1, 16428), (6, 15543)]"
"[[1 1 1]
 [0 1 0]
 [0 0 0]]",513.24655,"[(0, 16598), (1, 16503), (6, 15530)]"
"[[1 0 0]
 [1 1 0]
 [1 0 0]]",514.50258,"[(5, 16586), (6, 16554), (0, 15570)]"
"[[0 0 0]
 [0 1 1]
 [1 0 1]]",540.6702,"[(5, 16917), (2, 16905), (4, 15339)]"
"[[1 0 1]
 [0 1 1]
 [0 0 0]]",540.83378,"[(0, 16888), (5, 16604), (4, 15395)]"
"[[1 0 0]
 [0 1 0]
 [1 1 0]]",542.04816,"[(6, 17144), (1, 16538), (2, 15086)]"
"[[0 0 1]
 [0 1 0]
 [0 1 1]]",542.71133,"[(4, 16888), (1, 16640), (2, 15034)]"
"[[1 0 1]
 [1 1 0]
 [0 0 0]]",543.84265,"[(5, 16869), (0, 16678), (6, 15491)]"
"[[1 1 0]
 [0 1 0]
 [1 0 0]]",544.14223,"[(6, 16898), (1, 16725), (0, 15347)]"
"[[0 0 0]
 [1 1 0]
 [1 0 1]]",544.3394,"[(2, 17022), (5, 16714), (6, 15234)]"
"[[1 0 1]
 [1 0 0]
 [1 0 0]]",546.70885,"[(5, 16682), (0, 16192), (3, 16171)]"
"[[1 1 1]
 [0 0 0]
 [0 0 1]]",547.22173,"[(1, 16546), (4, 16258), (7, 15977)]"
"[[0 1 1]
 [0 1 0]
 [0 0 1]]",547.39503,"[(4, 17110), (1, 16454), (0, 15291)]"
"[[1 0 0]
 [0 0 0]
 [1 1 1]]",549.3463,"[(1, 16431), (7, 16213), (6, 16059)]"
"[[1 0 0]
 [1 0 0]
 [1 0 1]]",550.19141,"[(5, 16490), (7, 16204), (6, 15984)]"
"[[1 1 1]
 [0 0 0]
 [1 0 0]]",550.47058,"[(1, 16581), (3, 16211), (6, 16115)]"
"[[0 0 1]
 [0 0 1]
 [1 0 1]]",552.8604,"[(5, 16765), (2, 16192), (3, 16000)]"
"[[1 0 1]
 [0 0 1]
 [0 0 1]]",553.11451,"[(5, 16664), (7, 16168), (0, 16044)]"
"[[0 0 1]
 [0 0 0]
 [1 1 1]]",554.63404,"[(1, 16631), (3, 16180), (4, 16025)]"
"[[1 0 1]
 [0 0 0]
 [1 0 1]]",564.02822,"[(1, 16418), (2, 14082), (0, 13993)]"
"[[0 1 1]
 [1 1 0]
 [0 0 0]]",568.50025,"[(0, 17289), (3, 17015), (6, 15511)]"
"[[1 1 0]
 [0 1 1]
 [0 0 0]]",568.77648,"[(0, 17295), (7, 16846), (4, 15442)]"
"[[0 0 0]
 [1 1 0]
 [0 1 1]]",569.44286,"[(2, 17164), (7, 16836), (6, 15389)]"
"[[1 0 0]
 [1 1 0]
 [0 1 0]]",570.36703,"[(6, 17367), (7, 16850), (2, 15390)]"
"[[0 1 0]
 [1 1 0]
 [1 0 0]]",570.74197,"[(6, 17321), (3, 17009), (0, 15407)]"
"[[0 0 0]
 [0 1 1]
 [1 1 0]]",573.00581,"[(2, 17312), (3, 16768), (4, 15546)]"
"[[0 1 0]
 [0 1 1]
 [0 0 1]]",573.5231,"[(4, 17455), (7, 16867), (0, 15485)]"
"[[0 0 1]
 [0 1 1]
 [0 1 0]]",576.75157,"[(4, 17466), (3, 17001), (2, 15328)]"
"[[1 0 0]
 [0 1 0]
 [1 0 1]]",580.67494,"[(6, 18422), (2, 18161), (1, 18065)]"
"[[1 0 1]
 [0 1 0]
 [1 0 0]]",584.96002,"[(0, 18424), (1, 18181), (6, 18051)]"
"[[1 0 1]
 [0 1 0]
 [0 0 1]]",585.7729,"[(0, 18329), (4, 18185), (1, 18125)]"
"[[0 1 0]
 [0 1 0]
 [1 0 1]]",586.41409,"[(1, 17590), (4, 15158), (6, 15004)]"
"[[1 0 0]
 [0 1 1]
 [1 0 0]]",588.32351,"[(5, 17560), (2, 15512), (0, 15455)]"
"[[1 0 1]
 [0 1 0]
 [0 1 0]]",588.5934,"[(1, 17743), (6, 15266), (4, 15014)]"
"[[0 1 1]
 [0 0 0]
 [1 0 1]]",588.9454,"[(1, 18015), (4, 15896), (3, 15872)]"
"[[0 0 1]
 [1 1 0]
 [0 0 1]]",589.03041,"[(5, 17283), (2, 15361), (0, 15342)]"
"[[0 0 1]
 [0 1 0]
 [1 0 1]]",589.84612,"[(4, 18394), (1, 18360), (2, 18124)]"
"[[1 0 1]
 [0 0 0]
 [0 1 1]]",591.27851,"[(1, 17653), (4, 16037), (7, 15751)]"
"[[1 0 1]
 [0 0 1]
 [1 0 0]]",592.06846,"[(5, 17640), (3, 15899), (0, 15868)]"
"[[1 1 0]
 [0 0 0]
 [1 0 1]]",592.07675,"[(1, 17977), (6, 15855), (7, 15804)]"
"[[0 0 1]
 [1 0 0]
 [1 0 1]]",592.51124,"[(5, 17651), (2, 16089), (3, 15852)]"
"[[1 0 0]
 [0 0 1]
 [1 0 1]]",593.11077,"[(5, 17986), (7, 15817), (2, 15808)]"
"[[1 0 1]
 [1 0 0]
 [0 0 1]]",594.48083,"[(5, 17780), (0, 15882), (7, 15880)]"
"[[1 0 1]
 [0 0 0]
 [1 1 0]]",595.50263,"[(1, 17879), (6, 15868), (3, 15717)]"
"[[0 0 0]
 [1 1 0]
 [1 1 0]]",595.77134,"[(3, 18574), (2, 17578), (7, 15657)]"
"[[0 0 0]
 [0 1 1]
 [0 1 1]]",606.14386,"[(7, 18710), (2, 17896), (3, 15451)]"
"[[1 1 0]
 [1 1 0]
 [0 0 0]]",607.85016,"[(7, 18622), (0, 17647), (3, 15432)]"
"[[1 1 0]
 [0 0 1]
 [0 0 1]]",609.04248,"[(7, 17522), (4, 16312), (0, 16083)]"
"[[0 0 1]
 [0 0 1]
 [1 1 0]]",609.13009,"[(3, 17397), (4, 16116), (2, 16092)]"
"[[1 0 0]
 [1 0 0]
 [0 1 1]]",609.5278,"[(7, 17326), (6, 16422), (2, 16251)]"
"[[0 1 1]
 [1 0 0]
 [1 0 0]]",611.01877,"[(3, 17160), (0, 16235), (6, 16165)]"
"[[0 1 1]
 [0 1 1]
 [0 0 0]]",611.14329,"[(3, 18834), (0, 17662), (7, 15483)]"
"[[0 1 0]
 [0 1 0]
 [0 1 1]]",632.34796,"[(1, 19183), (4, 18962), (6, 18147)]"
"[[1 1 0]
 [0 1 0]
 [0 1 0]]",632.52578,"[(1, 19069), (6, 18848), (4, 18161)]"
"[[1 0 0]
 [1 1 1]
 [0 0 0]]",635.67506,"[(5, 19375), (0, 18845), (2, 18293)]"
"[[0 1 0]
 [0 1 0]
 [1 1 0]]",637.93703,"[(1, 19138), (6, 19040), (4, 17975)]"
"[[0 1 1]
 [0 1 0]
 [0 1 0]]",638.41895,"[(4, 19181), (1, 19162), (6, 18032)]"
"[[0 0 0]
 [1 1 1]
 [1 0 0]]",639.11964,"[(3, 19104), (2, 18790), (0, 18379)]"
"[[0 0 1]
 [1 1 1]
 [0 0 0]]",640.64643,"[(3, 19485), (0, 19179), (2, 17923)]"
"[[0 0 0]
 [1 1 1]
 [0 0 1]]",640.88796,"[(5, 19171), (2, 18867), (0, 18219)]"
"[[1 0 0]
 [1 0 0]
 [1 1 0]]",647.6651,"[(7, 18850), (6, 17970), (1, 16949)]"
"[[0 0 1]
 [0 0 1]
 [0 1 1]]",649.7187,"[(3, 18787), (4, 17875), (2, 16935)]"
"[[1 1 1]
 [1 0 0]
 [0 0 0]]",650.98276,"[(3, 18756), (0, 17856), (5, 16966)]"
"[[0 1 1]
 [0 0 1]
 [0 0 1]]",652.64344,"[(7, 18904), (4, 17866), (1, 16925)]"
"[[0 1 0]
 [1 1 1]
 [0 0 0]]",652.83341,"[(3, 19019), (0, 17917), (6, 16940)]"
"[[0 0 0]
 [0 0 1]
 [1 1 1]]",652.84093,"[(3, 18712), (2, 18108), (5, 17159)]"
"[[0 1 0]
 [1 1 0]
 [0 1 0]]",654.49922,"[(3, 18753), (6, 17787), (0, 17114)]"
"[[0 1 0]
 [0 1 1]
 [0 1 0]]",656.51089,"[(3, 18663), (4, 17796), (0, 17088)]"
"[[0 0 0]
 [1 1 1]
 [0 1 0]]",657.2273,"[(3, 18726), (2, 18100), (6, 16979)]"
"[[0 0 0]
 [1 0 0]
 [1 1 1]]",660.09583,"[(7, 18702), (2, 17775), (5, 17131)]"
"[[1 1 0]
 [1 0 0]
 [1 0 0]]",660.39913,"[(3, 18652), (6, 17857), (0, 16933)]"
"[[1 1 1]
 [0 0 1]
 [0 0 0]]",662.01872,"[(7, 18580), (0, 17984), (5, 16981)]"
"[[1 1 0]
 [0 0 0]
 [1 1 0]]",667.81909,"[(1, 19646), (7, 19525), (3, 19328)]"
"[[0 1 1]
 [0 0 0]
 [0 1 1]]",668.15569,"[(3, 19750), (1, 19655), (7, 19462)]"
"[[1 1 0]
 [0 0 0]
 [0 1 1]]",669.76645,"[(1, 19822), (6, 19322), (4, 19278)]"
"[[0 0 1]
 [1 0 1]
 [1 0 0]]",670.71519,"[(3, 19664), (2, 19436), (0, 19309)]"
"[[0 0 0]
 [1 0 1]
 [1 0 1]]",671.10203,"[(2, 19775), (7, 19613), (3, 19420)]"
"[[0 1 1]
 [0 0 0]
 [1 1 0]]",672.86929,"[(1, 19685), (4, 19610), (6, 19447)]"
"[[1 0 1]
 [1 0 1]
 [0 0 0]]",672.88839,"[(0, 19875), (7, 19556), (3, 19249)]"
"[[1 0 0]
 [1 0 1]
 [0 0 1]]",680.11779,"[(5, 19793), (2, 19478), (0, 19328)]"
